Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
G051,-60.64,48.51,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,10.04,,,47.31,,,,,,,,,,1.08,1.08,,,,,,,,1.79,,37.28,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G052,-60.64,48.51,de vernal et al DB1826,100.00,,,2.23,,,,,,,,,,,,,,,,3.57,,,45.98,,,,,,,,,,0.89,1.34,,,,,,,,1.79,,36.16,,0.89,,,,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G053,-60.24,48.33,de vernal et al DB1826,100.00,,,12.87,,,,,,,0.29,,,,,,,,,6.73,,,38.01,,,,,,,,,,0.88,1.75,,,,,,,,1.75,,19.59,,,,,,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G054,-60.17,49.22,de vernal et al DB1826,100.00,,,0.36,,,,,,,,,,,,,,,,19.35,,,40.86,,,,,,,,,,3.23,3.05,,,,,,,,2.69,,27.78,,0.18,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G055,-61.95,49.71,de vernal et al DB1826,100.00,,0.61,0.91,,,,,,,,,,,,,,,,16.77,,,26.83,,,,,,,,,,4.57,3.96,0.30,,,,,,,4.27,,27.44,,,,,,14.02,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G056,-60.80,49.52,de vernal et al DB1826,100.00,,,0.54,,,,,,,,,,,,,,,,24.93,,,31.71,,,,,,,,,,3.25,2.17,,,,,,,,4.34,,29.27,,0.54,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G057,-59.78,49.33,de vernal et al DB1826,100.00,,0.16,1.14,,,,,0.16,,,0.16,,,,,,,,16.91,,,39.35,,,,,,,,,,4.55,2.60,,,,,,,,0.49,,29.92,,0.33,,,,4.07,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G058,-59.47,49.80,de vernal et al DB1826,100.00,,,4.37,,,,,,,,,,,,,,,,0.55,,,21.04,,,,,,,,,,1.09,2.19,,,,,,,,2.73,,8.20,,14.21,1.09,,,42.62,,,,,,0.27,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G059,-59.47,49.80,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,14.23,,,30.96,,,,,,,,,,1.67,2.51,,,,,,,,1.67,,15.06,,15.48,,,,16.32,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G060,-59.46,49.80,de vernal et al DB1826,100.00,,0.57,2.29,,,,,,,,,,,,,,,,13.71,,,37.43,,,,,,,,,,2.00,2.00,,,,,,,,2.29,,30.57,,,,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
